Codage,Stopwords,Stemming,Lowercase,N-Grams,LR (CV 5-fold)
Binary,True,True,True,1,0.8504999999999999

Binary,True,True,True,1-2,0.8595

Binary,True,True,True,2,0.8005000000000001

Binary,True,True,False,1,0.8504999999999999

Binary,True,True,False,1-2,0.8595

Binary,True,True,False,2,0.8005000000000001

Binary,True,False,True,1,0.861

Binary,True,False,True,1-2,0.8695

Binary,True,False,True,2,0.7859999999999999

Binary,True,False,False,1,0.861

Binary,True,False,False,1-2,0.8695

Binary,True,False,False,2,0.7859999999999999

Binary,False,True,True,1,0.857

Binary,False,True,True,1-2,0.8655000000000002

Binary,False,True,True,2,0.828

Binary,False,True,False,1,0.857

Binary,False,True,False,1-2,0.8655000000000002

Binary,False,True,False,2,0.828

Binary,False,False,True,1,0.8654999999999999

Binary,False,False,True,1-2,0.874

Binary,False,False,True,2,0.8275

Binary,False,False,False,1,0.8654999999999999

Binary,False,False,False,1-2,0.874

Binary,False,False,False,2,0.8275
