Codage,Stopwords,Stemming,Lowercase,N-Grams,NB (CV 5-fold)
Binary,True,True,True,1,0.8285

Binary,True,True,True,1-2,0.8390000000000001

Binary,True,True,True,2-2,0.7825

Binary,True,True,False,1,0.8285

Binary,True,True,False,1-2,0.8390000000000001

Binary,True,True,False,2-2,0.7825

Binary,True,False,True,1,0.8324999999999999

Binary,True,False,True,1-2,0.8314999999999999

Binary,True,False,True,2-2,0.7415

Binary,True,False,False,1,0.8324999999999999

Binary,True,False,False,1-2,0.8314999999999999

Binary,True,False,False,2-2,0.7415

Binary,False,True,True,1,0.825

Binary,False,True,True,1-2,0.852

Binary,False,True,True,2-2,0.8540000000000001

Binary,False,True,False,1,0.825

Binary,False,True,False,1-2,0.852

Binary,False,True,False,2-2,0.8540000000000001

Binary,False,False,True,1,0.8285

Binary,False,False,True,1-2,0.8564999999999999

Binary,False,False,True,2-2,0.851

Binary,False,False,False,1,0.8285

Binary,False,False,False,1-2,0.8564999999999999

Binary,False,False,False,2-2,0.851
