Codage,Stopwords,Stemming,Lowercase,N-Grams,LR (CV 5-fold)

TFIDF,True,True,True,1,0.8344999999999999

TFIDF,True,True,True,1-2,0.821

TFIDF,True,True,True,2,0.8029999999999999

TFIDF,True,True,False,1,0.8344999999999999

TFIDF,True,True,False,1-2,0.821

TFIDF,True,True,False,2,0.8029999999999999

TFIDF,True,False,True,1,0.8370000000000001

TFIDF,True,False,True,1-2,0.8390000000000001

TFIDF,True,False,True,2,0.797

TFIDF,True,False,False,1,0.8370000000000001

TFIDF,True,False,False,1-2,0.8390000000000001

TFIDF,True,False,False,2,0.797

TFIDF,False,True,True,1,0.8230000000000001

TFIDF,False,True,True,1-2,0.8115

TFIDF,False,True,True,2,0.8320000000000001

TFIDF,False,True,False,1,0.8230000000000001

TFIDF,False,True,False,1-2,0.8115

TFIDF,False,True,False,2,0.8320000000000001

TFIDF,False,False,True,1,0.8155000000000001

TFIDF,False,False,True,1-2,0.8059999999999998

TFIDF,False,False,True,2,0.8244999999999999

TFIDF,False,False,False,1,0.8155000000000001

TFIDF,False,False,False,1-2,0.8059999999999998

TFIDF,False,False,False,2,0.8244999999999999
