Codage,Stopwords,Stemming,Lowercase,N-Grams,SVM (CV 5-fold)

TFIDF,True,True,True,1,0.8495000000000001

TFIDF,True,True,True,1-2,0.842

TFIDF,True,True,True,2,0.8049999999999999

TFIDF,True,True,False,1,0.8495000000000001

TFIDF,True,True,False,1-2,0.842

TFIDF,True,True,False,2,0.8049999999999999

TFIDF,True,False,True,1,0.853

TFIDF,True,False,True,1-2,0.8540000000000001

TFIDF,True,False,True,2,0.7959999999999999

TFIDF,True,False,False,1,0.853

TFIDF,True,False,False,1-2,0.8540000000000001

TFIDF,True,False,False,2,0.7959999999999999

TFIDF,False,True,True,1,0.8525

TFIDF,False,True,True,1-2,0.8525

TFIDF,False,True,True,2,0.8405000000000001

TFIDF,False,True,False,1,0.8525

TFIDF,False,True,False,1-2,0.8525

TFIDF,False,True,False,2,0.8405000000000001

TFIDF,False,False,True,1,0.857

TFIDF,False,False,True,1-2,0.8504999999999999

TFIDF,False,False,True,2,0.8425

TFIDF,False,False,False,1,0.857

TFIDF,False,False,False,1-2,0.8504999999999999

TFIDF,False,False,False,2,0.8425
