Codage,Stopwords,Stemming,Lowercase,N-Grams,LR (CV 5-fold)
TF,True,True,True,1,0.8425

TF,True,True,True,1-2,0.8494999999999999

TF,True,True,True,2,0.789

TF,True,True,False,1,0.8425

TF,True,True,False,1-2,0.8494999999999999

TF,True,True,False,2,0.789

TF,True,False,True,1,0.8385

TF,True,False,True,1-2,0.8445

TF,True,False,True,2,0.7795

TF,True,False,False,1,0.8385

TF,True,False,False,1-2,0.8445

TF,True,False,False,2,0.7795

TF,False,True,True,1,0.8435

TF,False,True,True,1-2,0.85

TF,False,True,True,2,0.8215

TF,False,True,False,1,0.8435

TF,False,True,False,1-2,0.85

TF,False,True,False,2,0.8215

TF,False,False,True,1,0.8425

TF,False,False,True,1-2,0.8565000000000002

TF,False,False,True,2,0.8240000000000001

TF,False,False,False,1,0.8425

TF,False,False,False,1-2,0.8565000000000002

TF,False,False,False,2,0.8240000000000001
