Codage,Stopwords,Stemming,Lowercase,N-Grams,NB (CV 5-fold)
TF,True,True,True,1,0.8055

TF,True,True,True,1-2,0.8225000000000001

TF,True,True,True,2-2,0.7795

TF,True,True,False,1,0.8055

TF,True,True,False,1-2,0.8225000000000001

TF,True,True,False,2-2,0.7795

TF,True,False,True,1,0.8085000000000001

TF,True,False,True,1-2,0.8160000000000001

TF,True,False,True,2-2,0.7535000000000001

TF,True,False,False,1,0.8085000000000001

TF,True,False,False,1-2,0.8160000000000001

TF,True,False,False,2-2,0.7535000000000001

TF,False,True,True,1,0.8109999999999999

TF,False,True,True,1-2,0.8325000000000001

TF,False,True,True,2-2,0.837

TF,False,True,False,1,0.8109999999999999

TF,False,True,False,1-2,0.8325000000000001

TF,False,True,False,2-2,0.837

TF,False,False,True,1,0.8135000000000001

TF,False,False,True,1-2,0.836

TF,False,False,True,2-2,0.8375

TF,False,False,False,1,0.8135000000000001

TF,False,False,False,1-2,0.836

TF,False,False,False,2-2,0.8375
