Codage,Stopwords,Stemming,Lowercase,N-Grams,SVM (CV 5-fold)
TF,True,True,True,1,0.8245000000000001

TF,True,True,True,1-2,0.85

TF,True,True,True,2,0.7905

TF,True,True,False,1,0.8245000000000001

TF,True,True,False,1-2,0.85

TF,True,True,False,2,0.7905

TF,True,False,True,1,0.827

TF,True,False,True,1-2,0.8394999999999999

TF,True,False,True,2,0.764

TF,True,False,False,1,0.827

TF,True,False,False,1-2,0.8394999999999999

TF,True,False,False,2,0.764

TF,False,True,True,1,0.8295

TF,False,True,True,1-2,0.8460000000000001

TF,False,True,True,2,0.825

TF,False,True,False,1,0.8295

TF,False,True,False,1-2,0.8460000000000001

TF,False,True,False,2,0.825

TF,False,False,True,1,0.8315000000000001

TF,False,False,True,1-2,0.85

TF,False,False,True,2,0.8244999999999999

TF,False,False,False,1,0.8315000000000001

TF,False,False,False,1-2,0.85

TF,False,False,False,2,0.8244999999999999
